High,mean_2m,min_2m,max_2m,dewpoint_2m,total_precip,surf_press,mean_sea_press,u_wind,v_wind
3112.87,277.1350588,273.4058054,282.4716568,272.9486816,0.002884059,92854.74996,101913.863,0.918784444,0.111660513
3110.11,278.7280614,274.8133164,283.7312372,274.571164,0.003716487,92655.09002,101669.7972,0.12942747,0.165916331
3118.97,280.5965809,277.0523437,285.439626,275.4011608,0.002903103,92354.87094,101220.2476,-0.200708521,0.350372659
3127.64,280.9396212,276.4186723,287.0738766,273.757009,0.001473965,92176.67153,100970.1411,0.87627872,0.486088055
3124.17,280.6793927,275.90143,286.9966065,273.0135893,0.000531701,92501.33032,101341.8621,1.186754927,-0.061048846
3120.46,278.2004144,273.535176,284.912538,270.8722925,0.001684635,93336.3542,102265.1559,0.527666786,0.315417028
3098.2,276.3488798,271.881817,282.4933339,269.0827769,0.000444963,93267.8336,102255.3747,0.360238949,0.098408593
3098.06,274.4826495,270.0695073,280.5790488,266.183698,0.000447281,93102.26881,102094.5938,0.811034438,0.16074244
3102.61,272.9858996,267.46295,280.5036646,265.4737842,0.00236529,93473.42938,102605.1386,0.860503536,-0.79420398
3088.33,276.5319866,270.7992015,283.6467664,269.8549305,0.001804459,93373.78968,102504.3943,0.318934282,-1.533982591
3093.09,277.1719577,272.2124243,284.6566056,269.4340837,0.000949984,93535.2379,102534.759,0.528738466,-0.55696138
3097.77,278.0519667,272.8941155,284.7390338,271.8476775,0.003940943,93559.44108,102618.5138,0.067827394,-0.742987179
3078.34,280.2204383,275.4650029,286.3792763,272.9644508,0.00110602,93413.65133,102379.4804,0.000628855,-0.257553825
3083.95,280.8975373,275.896577,287.3321808,273.1858243,0.00062043,93218.3829,102147.24,0.423010613,0.124093257
3085.2,280.6161235,275.5177809,287.1900095,271.7693002,0.000441334,92935.92238,101838.7315,0.678113745,0.301931465
3066.95,277.1252122,271.8071865,284.5890105,266.8669975,0.001335463,93274.76183,102336.8945,1.70413105,-0.302334701
3046.9,276.7360341,271.232466,283.9578526,267.8115507,0.005323883,93133.69041,102308.3326,1.417840325,-0.240900368
3050.1,276.0177316,272.2315491,281.1339293,268.8268218,0.004973516,93254.67908,102561.7713,0.109268911,-1.136450351
3047.87,277.3603581,273.7172763,282.1935837,270.2577307,0.002022698,92994.24147,102178.1651,0.19245511,-0.751424549
3044.08,278.6322727,274.3294545,284.3772829,271.1689123,0.000748141,92818.21122,101936.4886,0.774000922,-0.388301725
3027.39,282.1453535,277.1403411,289.5284725,273.3102747,0.00390281,93376.74063,102326.1133,0.356613598,-0.233046485
